92 	21 	5937 - MI-Robotics 	21 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
93 	21 	5975 - Beta Blues 	21 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
94 	21 	7204 - Prospect Cougars 	11 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	10
95 	20 	2980 - The Whidbey Island Wild Cats 	20 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
96 	19 	4132 - Scotbots 	7 [PNW District Clackamas Academy Event] 	12 [PNW District Wilsonville Event] 	--- 	--- 	0
97 	19 	1595 - The Dragons 	19 [PNW District Mount Vernon Event] 	Not Played 	Qualified 	--- 	0
98 	18 	6076 - Mustangs 	18 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
99 	18 	4173 - IMVERT (Interscholastic Mount... 	18 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
100 	17 	3393 - Horns of Havoc 	17 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
101 	17 	3673 - C.Y.B.O.R.G. Seagulls 	8 [PNW District Clackamas Academy Event] 	9 [PNW District Wilsonville Event] 	--- 	--- 	0
102 	17 	5977 - Rosemary Anderson H S/POIC 	10 [PNW District Clackamas Academy Event] 	7 [PNW District Wilsonville Event] 	--- 	--- 	0
103 	17 	6503 - Iron Dragon 	12 [PNW District Auburn Event] 	Not Played 	--- 	--- 	5
104 	16 	3220 - Mechanics of Mayhem 	16 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
105 	16 	4051 - Sabin-Sharks 	8 [PNW District Clackamas Academy Event] 	8 [PNW District Wilsonville Event] 	--- 	--- 	0
106 	15 	3131 - Gladiators 	15 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
107 	15 	2411 - Rebel @lliance 	15 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
108 	14 	2928 - Viking Robotics 	14 [PNW District Auburn Event] 	Not Played 	--- 	Qualified 	0
109 	14 	3812 - Bits & Bots 	14 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
110 	14 	3684 - Electric Eagles 	14 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
111 	14 	6442 - Modern Americans 	9 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	5
112 	14 	7032 - Raptors 	4 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	10
113 	13 	1571 - CALibrate Robotics 	13 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
114 	13 	3237 - Event Horizon 	13 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
115 	13 	955 - CV Robotics 	13 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
116 	12 	3574 - HIGH TEKERZ 	12 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
117 	12 	5683 - Hello World 	12 [PNW District Auburn Event] 	Not Played 	--- 	--- 	0
